Username;first_name;last_name;email;password
epleass0;Elli;Pleass;epleass0@mashable.com;aR7@qEuh27W
hivanchikov1;Huey;Ivanchikov;hivanchikov1@discovery.com;sU0@b*f~P4?
jalpe2;Julissa;Alpe;jalpe2@cnbc.com;bP7}`LMWaiq/q&6c
dchipp3;Diahann;Chipp;dchipp3@amazon.co.uk;eW7)sI3kOtlw
jheathcote4;Johnnie;Heathcote;jheathcote4@wiley.com;nS1|=*eb+z6J#Q2
kwanell5;Karole;Wanell;kwanell5@wired.com;lZ3%z46CSV+J1Y
htownend6;Hodge;Townend;htownend6@yale.edu;dI0>mgX?g
cmccafferty7;Costa;McCafferty;cmccafferty7@example.com;yV2>%m<R*r)404'p
edowsey8;Elnar;Dowsey;edowsey8@bluehost.com;tA4~1@,OT
cyanov9;Clemmie;Yanov;cyanov9@usgs.gov;"wV0~7/""'O#2W8d7B"
